task,assistant_model,conv_type,n_convs,avg_score_cond,accuracy_cond,n_with_score,n_with_is_correct,avg_score_all,accuracy_all,n_missing_eval,n_both_present,n_mismatch_both_present,missing_eval_rate,mismatch_rate_among_both_present
code,gpt-5.2-chat,full,100,0.97,0.97,100,100,0.97,0.97,0,100,0,0.0,0.0
code,gpt-5.2-chat,sharded,99,0.797979797979798,0.797979797979798,99,99,0.797979797979798,0.797979797979798,0,99,0,0.0,0.0
database,gpt-5,full,107,0.897196261682243,0.897196261682243,107,107,0.897196261682243,0.897196261682243,0,107,0,0.0,0.0
database,gpt-5,sharded,86,0.38666666666666666,0.725,75,40,0.3372093023255814,0.3372093023255814,0,29,0,0.0,0.0
database,gpt-5-chat,full,107,0.9813084112149533,0.9813084112149533,107,107,0.9813084112149533,0.9813084112149533,0,107,0,0.0,0.0
database,gpt-5-chat,sharded,107,0.5096153846153846,0.9464285714285714,104,56,0.4953271028037383,0.4953271028037383,0,53,0,0.0,0.0
database,gpt-5-mini,full,107,0.9065420560747663,0.9065420560747663,107,107,0.9065420560747663,0.9065420560747663,0,107,0,0.0,0.0
database,gpt-5-mini,sharded,107,0.32,0.8205128205128205,100,39,0.29906542056074764,0.29906542056074764,0,32,0,0.0,0.0
database,gpt-5.1,full,107,0.9532710280373832,0.9532710280373832,107,107,0.9532710280373832,0.9532710280373832,0,107,0,0.0,0.0
database,gpt-5.1,sharded,106,0.4339622641509434,1.0,106,46,0.4339622641509434,0.4339622641509434,0,46,0,0.0,0.0
database,gpt-5.1-chat,full,107,0.9439252336448598,0.9439252336448598,107,107,0.9439252336448598,0.9439252336448598,0,107,0,0.0,0.0
database,gpt-5.1-chat,sharded,106,0.5566037735849056,1.0,106,59,0.5566037735849056,0.5566037735849056,0,59,0,0.0,0.0
database,gpt-5.2,full,107,0.9345794392523364,0.9345794392523364,107,107,0.9345794392523364,0.9345794392523364,0,107,0,0.0,0.0
database,gpt-5.2,sharded,107,0.4811320754716981,0.9807692307692307,106,52,0.4766355140186916,0.4766355140186916,0,51,0,0.0,0.0
database,gpt-5.2-chat,full,107,0.9345794392523364,0.9345794392523364,107,107,0.9345794392523364,0.9345794392523364,0,107,0,0.0,0.0
database,gpt-5.2-chat,sharded,106,0.5188679245283019,1.0,106,55,0.5188679245283019,0.5188679245283019,0,55,0,0.0,0.0
math,gpt-5,full,103,0.8932038834951457,0.8932038834951457,103,103,0.8932038834951457,0.8932038834951457,0,103,0,0.0,0.0
math,gpt-5,sharded,95,0.7032967032967034,0.9411764705882353,91,68,0.6736842105263158,0.6736842105263158,0,64,0,0.0,0.0
math,gpt-5-chat,full,103,0.9029126213592233,0.9029126213592233,103,103,0.9029126213592233,0.9029126213592233,0,103,0,0.0,0.0
math,gpt-5-chat,sharded,103,0.7227722772277227,0.9733333333333334,101,75,0.7087378640776699,0.7087378640776699,0,73,0,0.0,0.0
math,gpt-5-mini,full,103,0.8349514563106796,0.8349514563106796,103,103,0.8349514563106796,0.8349514563106796,0,103,0,0.0,0.0
math,gpt-5-mini,sharded,103,0.65625,0.9,96,70,0.6116504854368932,0.6116504854368932,0,63,0,0.0,0.0
math,gpt-5.1,full,103,0.9320388349514563,0.9320388349514563,103,103,0.9320388349514563,0.9320388349514563,0,103,0,0.0,0.0
math,gpt-5.1,sharded,100,0.75,1.0,100,75,0.75,0.75,0,75,0,0.0,0.0
math,gpt-5.1-chat,full,103,0.9611650485436893,0.9611650485436893,103,103,0.9611650485436893,0.9611650485436893,0,103,0,0.0,0.0
math,gpt-5.1-chat,sharded,100,0.8282828282828283,0.9879518072289156,99,83,0.82,0.82,0,82,0,0.0,0.0
math,gpt-5.2,full,103,0.9514563106796117,0.9514563106796117,103,103,0.9514563106796117,0.9514563106796117,0,103,0,0.0,0.0
math,gpt-5.2,sharded,103,0.81,0.9642857142857143,100,84,0.7864077669902912,0.7864077669902912,0,81,0,0.0,0.0
math,gpt-5.2-chat,full,103,0.8932038834951457,0.8932038834951457,103,103,0.8932038834951457,0.8932038834951457,0,103,0,0.0,0.0
math,gpt-5.2-chat,sharded,100,0.72,1.0,100,72,0.72,0.72,0,72,0,0.0,0.0
